OTU	Bacteroidaceae	Prevotellaceae	Streptococcaceae	Lachnospiraceae	Ruminococcaceae	Veillonellaceae	Tissierellaceae	Erysipelotrichaceae	Alcaligenaceae	Enterobacteriaceae	Other
103S12.15	0.318735892	0.000451467	0.003611738	0.132731377	0.255530474	0.012189616	0.000902935	0.012189616	0.037923251	0.000451467	0.225282167
95S12.1	0.290744921	0.000902935	0	0.265011287	0.207223476	0.00993228	0.002257336	0.006772009	0.038374718	0	0.178781038
125S3.30	0.336794582	0.001354402	0.003611738	0.151693002	0.203611738	0.023476298	0.098871332	0.010835214	0.013544018	0.000902935	0.15530474
51s	0.315575621	0.002257336	0.005417607	0.081264108	0.10248307	0.062302483	0.110609481	0.003160271	0.108352144	0.040180587	0.168397291
137S4.27	0.212189616	0.003611738	0.000902935	0.146275395	0.246049661	0.003611738	0.021218962	0.010835214	0.019413093	0.036568849	0.299322799
129S4.20	0.349435666	0.018058691	0.008577878	0.173814898	0.253273138	0.013995485	0.018961625	0.007674944	0	0.011738149	0.144469526
61s	0.491196388	0.040632054	0.019413093	0.116027088	0.216252822	0.028442438	0.013092551	0.010383747	0.021218962	0	0.043340858
63S	0.39503386	0.041986456	0.002257336	0.061851016	0.062302483	0.01986456	0.017155756	0.006772009	0.084875847	0.210835214	0.097065463
123S3.23	0.372460497	0.063205418	0.03476298	0.088939052	0.150790068	0.020767494	0.013995485	0.031602709	0.005869074	0.121896163	0.095711061
93S11.17	0.258239278	0.088036117	0	0.304740406	0.102934537	0.015349887	0.00993228	0.038826185	0.056884876	0.028893905	0.096162528
49S5.12	0.151693002	0.137697517	0.001805869	0.018058691	0.094808126	0.054176072	0.01489842	0.00993228	0.016704289	0	0.500225734
133S4.27	0.044243792	0.218058691	0	0.10248307	0.138600451	0.060496614	0	0.119638826	0.013995485	0	0.30248307
127S4.13	0.169300226	0.282167043	0.000902935	0.066365688	0.113769752	0.069525959	0.01489842	0.010383747	0.015801354	0	0.256884876
31s	0.418961625	0	0.000902935	0.151693002	0.134988713	0.044243792	0.061399549	0.003160271	0.025282167	0.040180587	0.119187359
95S2.9	0.5751693	0	0	0.100225734	0.03476298	0.009480813	0.061851016	0.003160271	0.071331828	0	0.144018059
103S	0.293002257	0	0	0.187358916	0.28261851	0.005869074	0.000451467	0.013092551	0.028442438	0	0.189164786
127S	0.15214447	0.000451467	0.000902935	0.252370203	0.221670429	0.015801354	0.116478555	0.025282167	0.013995485	0.005417607	0.195485327
51S	0.322799097	0.001354402	0.018961625	0.058239278	0.099322799	0.073589165	0.110609481	0.000902935	0.045146727	0	0.269074492
29S	0.426185102	0.003611738	0.000451467	0.205417607	0.119187359	0.036117381	0.002708804	0.015349887	0.089390519	0	0.101580135
129S	0.420316027	0.006320542	0.004514673	0.110609481	0.118735892	0.00993228	0.00496614	0.001805869	0.003160271	0.242889391	0.076749436
11s	0.282167043	0.013544018	0.011286682	0.023927765	0.093002257	0.048758465	0.099322799	0.023927765	0.006320542	0	0.397742664
27S	0.433408578	0.016252822	0.001354402	0.100677201	0.155756208	0.011286682	0.006320542	0.008577878	0.022573363	0.000902935	0.242889391
35S	0.324604966	0.017607223	0.000902935	0.147629797	0.148081264	0.018510158	0.001805869	0.001354402	0.048306998	0.005417607	0.285778781
133S	0.027088036	0.037020316	0	0.142663657	0.184650113	0.046049661	0.010383747	0.104288939	0.013092551	0	0.43476298
33S	0.279458239	0.053273138	0.009029345	0.163431151	0.106094808	0.026636569	0.020316027	0.005869074	0.034311512	0.122799097	0.178781038
49S	0.445598194	0.064108352	0.000902935	0.087133183	0.200451467	0.022573363	0.002257336	0.008126411	0.025733634	0.010835214	0.13227991
21s	0.435665914	0.074943567	0.002257336	0.071331828	0.120090293	0.02979684	0.007223476	0.010383747	0.059593679	0.001805869	0.186907449
125S	0.114221219	0.172009029	0.000451467	0.045146727	0.063205418	0.043340858	0.012641084	0.010383747	0.007674944	0.324604966	0.206320542
93S1.26	0.207223476	0.276749436	0.000451467	0.16523702	0.158916479	0.018058691	0.006320542	0.035214447	0.034311512	0	0.09751693
123S	0.078555305	0.285778781	0.000902935	0.06772009	0.154401806	0.015801354	0.033408578	0.043340858	0.012189616	0	0.307900677
45s	0.227088036	0.00496614	0.640180587	0.000451467	0.000902935	0	0.000451467	0	0.000902935	0.069977427	0.055079007
65S	0.363431151	0.005417607	0.001805869	0.237923251	0.068623025	0.031151242	0.020316027	0.00993228	0.050112867	0.001354402	0.20993228
89S11.3	0.473137698	0.005417607	0.001354402	0.201354402	0.065462754	0.001805869	0.003160271	0.029345372	0	0.191422122	0.027539503
1394.27	0.460045147	0.008126411	0.002708804	0.064108352	0.001805869	0.003160271	0.074492099	0.000451467	0.009029345	0.236117381	0.139954853
59s	0.627088036	0.011738149	0	0.212641084	0.010383747	0.034311512	0.006772009	0.001805869	0	0.006320542	0.088939052
115S3.9	0.201805869	0.012189616	0.000451467	0.058690745	0.172911964	0.01489842	0.087133183	0.005417607	0.027088036	0.001354402	0.418058691
99S12.1	0.173814898	0.038374718	0.212189616	0.113769752	0.032054176	0.005417607	0.015349887	0.060045147	0.009029345	0.260045147	0.079909707
117S3.4	0.228442438	0.062302483	0.020316027	0.138600451	0.153950339	0.025282167	0.028442438	0.001805869	0.031151242	0.106094808	0.203611738
